קוד זיהוי,שדה1,שדה2,שדה3,שדה4,שדה5,שדה6,שדה7,שדה8,שדה9,שדה10,שדה11,שדה12,שדה13,שדה14,שדה15,שדה16,שדה17,שדה18,שדה19,שדה20,שדה21,שדה22,שדה23,שדה24,שדה25,שדה26,שדה27,שדה28,שדה29,שדה30,שדה31,שדה32
1673,806,810,"ירושלים, מזרח תלפיות ג",172/128,יהודה,גת יוסף,1.1982,ברזל,,חירבה,כפרי?,,,קרמיקה בלבד,חרסים בודדים,"חא פ-פא, עמ 33-34",,,,,,,,,,,,,,,,
1674,806,810,"ירושלים, מזרח תלפיות ג",172/128,יהודה,גת יוסף,1.1982,הלניסטית,,חירבה,כפרי?,,,שרידי בנייה,מערכת תעלות מים,"חא פ-פא, עמ 33-34",,,,,,,,,,,,,,,,
1675,806,810,"ירושלים, מזרח תלפיות ג",172/128,יהודה,גת יוסף,1.1982,רומית,,חירבה,כפרי?,,,קרמיקה בלבד,מערכת תעלות מים,"חא פ-פא, עמ 33-34",,,,,,,,,,,,,,,,
1676,811,811,"ירושלים, מלון ארץ הצבי",1683/1302,יהודה,רחמני לי וזיאס יוסף,1972,רומית,מאה 3 לספירה,מערה,קבר,,,קבר,,"חא מה, עמ 25",,,,,,,,,,,,,,,,
1677,812,812,"ירושלים, מלון הולילנד",16803/12930,יהודה,בן אריה שרה,5.1995,ברונזה תיכונה 1,,מערה,קבר,,,קבר,,"חא 106, עמ 141",,,,,,,,,,,,,,,,
1678,812,812,"ירושלים, מלון הולילנד",16803/12930,יהודה,בן אריה שרה,5.1995,ברונזה תיכונה 2א,,מערה,קבר,,,קבר,,"חא 106, עמ 141",,,,,,,,,,,,,,,,
1679,812,812,"ירושלים, מלון הולילנד",16803/12930,יהודה,בן אריה שרה,5.1995,ברזל,,מערה,קבר,,,קבר,,"חא 106, עמ 141",,,,,,,,,,,,,,,,
1680,812,812,"ירושלים, מלון הולילנד",16803/12930,יהודה,בן אריה שרה,5.1995,פרסית,,חירבה,כפרי,,,שרידי בנייה,,"חא 106, עמ 141",,,,,,,,,,,,,,,,
1681,813,850,"ירושלים, ממילא",17134/13166,יהודה,אסף אפרת וביליג יעקב,5-8.1995,אומאי,,אמת מים,עירוני,,,שרידי בנייה,,"חא 107, עמ 89-90",,,,,,,,,,,,,,,,
1682,813,850,"ירושלים, ממילא",17134/13166,יהודה,אסף אפרת וביליג יעקב,5-8.1995,ביזנטית,,אמת מים,עירוני,,,שרידי בנייה,,"חא 107, עמ 89-90",,,,,,,,,,,,,,,,
1683,813,850,"ירושלים, ממילא",17134/13166,יהודה,אסף אפרת וביליג יעקב,5-8.1995,ברזל 2ב,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 107, עמ 89-90",,,,,,,,,,,,,,,,
1684,813,850,"ירושלים, ממילא",17134/13166,יהודה,אסף אפרת וביליג יעקב,5-8.1995,הלניסטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 107, עמ 89-90",,,,,,,,,,,,,,,,
1685,813,850,"ירושלים, ממילא",17134/13166,יהודה,אסף אפרת וביליג יעקב,5-8.1995,ממלוכית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 107, עמ 89-90",,,,,,,,,,,,,,,,
1686,813,850,"ירושלים, ממילא",17134/13166,יהודה,אסף אפרת וביליג יעקב,5-8.1995,עותמנית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 107, עמ 89-90",,,,,,,,,,,,,,,,
1687,813,850,"ירושלים, ממילא",17134/13166,יהודה,אסף אפרת וביליג יעקב,5-8.1995,רומית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 107, עמ 89-90",,,,,,,,,,,,,,,,
1688,813,813,"ירושלים, ממילא ב",1716/1315,יהודה,מאיר אהרון,8-10.1989,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 55-57",,,,,,,,,,,,,,,,
1689,813,813,"ירושלים, ממילא ב",1716/1315,יהודה,מאיר אהרון,8-10.1989,מוסלמי קדום,,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 55-57",,,,,,,,,,,,,,,,
1690,813,813,"ירושלים, ממילא ב",1716/1315,יהודה,מאיר אהרון,8-10.1989,ממלוכית,,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 55-57",,,,,,,,,,,,,,,,
1691,813,813,"ירושלים, ממילא ב",1716/1315,יהודה,מאיר אהרון,8-10.1989,עותמנית,,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 55-57",,,,,,,,,,,,,,,,
1692,813,813,"ירושלים, ממילא ב",1716/1315,יהודה,מאיר אהרון,8-10.1989,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 55-57",,,,,,,,,,,,,,,,
1693,814,814,"ירושלים, מנזר נוטר דאם",172/128,יהודה,שמבון אלן,"3,5.1987",ביזנטית,,חירבה,עירוני,,כ 2 דונם,שרידי בנייה,"בית מרחץ, מבני מגורים","חא צה, עמ 51",yes,,,,,,,,,,,,,,,
1694,814,814,"ירושלים, מנזר נוטר דאם",172/128,יהודה,שמבון אלן,"3,5.1987",צלבני,,חירבה,עירוני,,כ 2 דונם,שרידי בנייה,,"חא צה, עמ 51",yes,,,,,,,,,,,,,,,
1695,815,815,"ירושלים, מנחת",1673/1286,יהודה,זהבי אלון,12.1990-3.1991,ברונזה תיכונה,,בית קברות,קבר,,,קבר,,"חא 99, עמ 59-60",,,,,,,,,,,,,,,,
1696,815,815,"ירושלים, מנחת",1673/1286,יהודה,זהבי אלון,12.1990-3.1991,ברזל 2,,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 59-60",,,,,,,,,,,,,,,,
1697,815,815,"ירושלים, מנחת",1673/1286,יהודה,זהבי אלון,12.1990-3.1991,עותמנית,,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 59-60",,,,,,,,,,,,,,,,
1698,815,815,"ירושלים, מנחת",1673/1286,יהודה,זהבי אלון,12.1990-3.1991,פרסית,,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 59-60",,,,,,,,,,,,,,,,
1699,815,815,"ירושלים, מנחת",1673/1286,יהודה,זהבי אלון,12.1990-3.1991,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 59-60",,,,,,,,,,,,,,,,
1700,815,816,"ירושלים, מנחת",16745-55/12825-35,יהודה,מילבסקי יניר,9-10.1998,ברונזה ביניימית,,חירבה,קבר,,"כ 60 מ""ר",קבר,רוגום,"חא 111, עמ 98-99",,,,,,,,,,,,,,,,
1701,1039,1039,"ירושלים, מנחת",1670/1288,יהודה,אדלשטיין גרשון וגרינהוט צבי,6-10.1987,ברונזה תיכונה 1,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא צב, עמ 39-43",,,,,,,,,,,,,,,,
1702,1039,1039,"ירושלים, מנחת",1670/1288,יהודה,אדלשטיין גרשון וגרינהוט צבי,6-10.1987,ברונזה תיכונה 2,,חירבה,כפרי,,,שרידי בנייה,,"חא צב, עמ 39-43",,,,,,,,,,,,,,,,
1703,817,817,"ירושלים, מעיין הגיחון",172/131,יהודה,רייך רוני ושוקרון אלי,1997,ברונזה קדומה 1,,מערה,כפרי,,,שרידי בנייה,,"חא 108, עמ 136-137",,,,,,,,,,,,,,,,
1704,817,817,"ירושלים, מעיין הגיחון",172/131,יהודה,רייך רוני ושוקרון אלי,1997,ברונזה תיכונה 2,,חירבה,עירוני,,,שרידי בנייה,,"חא 108, עמ 136-137",,,,,,,,,,,,,,,,
1705,817,817,"ירושלים, מעיין הגיחון",172/131,יהודה,רייך רוני ושוקרון אלי,1997,ברזל 2ב,מאה 8 לפנהס,חירבה,עירוני,,,שרידי בנייה,,"חא 108, עמ 136-137",,,,,,,,,,,,,,,,
1706,817,817,"ירושלים, מעיין הגיחון",172/131,יהודה,רייך רוני ושוקרון אלי,1998,ברונזה תיכונה 2,,תל,עירוני,,,שרידי בנייה,,"חא 109, עמ 116-118",,,,,,,,,,,,,,,,
1707,817,817,"ירושלים, מעיין הגיחון",172/131,יהודה,רייך רוני ושוקרון אלי,1998,ברזל 2,,תל,עירוני,,,שרידי בנייה,,"חא 109, עמ 116-118",,,,,,,,,,,,,,,,
1708,817,817,"ירושלים, מעיין הגיחון",172/131,יהודה,רייך רוני ושוקרון אלי,1998,הלניסטית,,תל,עירוני,,,שרידי בנייה,,"חא 109, עמ 116-118",,,,,,,,,,,,,,,,
1709,817,818,"ירושלים, מעין הגיחון",172500/131175,יהודה,רייך רוני ושוקרון אלי,1-3.1997,הלניסטית,,מרגלות תל,עירוני,,,שרידי בנייה,,"חא 107, עמ 86-87",,,,,,,,,,,,,,,,
1710,817,818,"ירושלים, מעין הגיחון",172500/131175,יהודה,רייך רוני ושוקרון אלי,1-3.1997,רומית,,מרגלות תל,עירוני,,,שרידי בנייה,,"חא 107, עמ 86-87",,,,,,,,,,,,,,,,
1711,819,819,"ירושלים, מעלות דפנה",17175/13333,יהודה,סולימני גדעון,5.1991,אין תיארוך,,מערה,קבר,,,קבר,אין ממצא מתארך,"חא 100, עמ 108",,,,,,,,,,,,,,,,
1712,820,820,"ירושלים, מקטעת כרכיס",17275/13815,יהודה,זיסו בועז וראם עמית,10.1998,ביזנטית,,מחצבה,כפרי,,,מתקן,מחצבה,"חא 111, עמ 81-82",,,,,,,,,,,,,,,,
1713,821,821,"ירושלים, מר אליאס",17020-30/12690-700,יהודה,אבנר רינה,1992,אומאי,,חירבה,כפרי,,,שרידי בנייה,,"חא 100, עמ 77-79",,,,,,,,,,,,,,,,
1714,821,821,"ירושלים, מר אליאס",17020-30/12690-700,יהודה,אבנר רינה,1992,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,כנסייה,"חא 100, עמ 77-79",,,,,,,,,,,,,,,,
1715,821,821,"ירושלים, מר אליאס",17020-30/12690-700,יהודה,אבנר רינה,1992,ימי הביניים,,חירבה,כפרי,,,שרידי בנייה,,"חא 100, עמ 77-79",,,,,,,,,,,,,,,,
1716,822,822,"ירושלים, משכנות שאננים",1713-4/1309-10,יהודה,סולימני גדעון,7.1998,עותמנית,,דרך,עירוני,,3.5*3.5מ,שרידי בנייה,הדרך הובילה כנראה מבית לחם לירושלים,"חא 112, עמ 155",,,,,,,,,,,,,,,,
1717,823,823,"ירושלים, נווה יעקב",174/138,יהודה,ויטו פאני,1.1973,רומית,,מערה,קבר,,,קבר,,"חא מה, עמ 25",,,,,,,,,,,,,,,,
1718,823,1116,"ירושלים, נווה יעקב",17267/13768,יהודה,גיבסון שמעון,10.1981,ברזל,,מערה,קבר,,,שרידי בנייה,תיארוך המערה על סמך צורתה,"חא עח-עט, עמ 69",,,,,,,,,,,,,,,,
1719,823,1116,"ירושלים, נווה יעקב",17267/13768,יהודה,גיבסון שמעון,10.1981,רומית,,מערה,קבר,,,קבר,,"חא עח-עט, עמ 69",,,,,,,,,,,,,,,,
1720,823,824,"ירושלים, נווה יעקב (מזרח)",17411/13860,יהודה,זיסו בועז וראם עמית,10.1998,רומית,,חירבה,כפרי?,,,שרידי בנייה,שומרה,חא 112 עמ 91-93,,,,,,,,,,,,,,,,
1721,825,825,"ירושלים, נחל רפאים",1668/1279,יהודה,איזנברג עמנואל,11.1992,ברונזה קדומה 4,,מערה,קבר,,,קבר,,"חא 101-102, עמ 89-90",,,,,,,,,,,,,,,,
1722,825,825,"ירושלים, נחל רפאים",1668/1279,יהודה,איזנברג עמנואל,11.1992,ברונזה תיכונה 2,,מערה,קבר,,,קבר,,"חא 101-102, עמ 89-90",,,,,,,,,,,,,,,,
1723,826,826,"ירושלים, נחלת אחים",17009/13179,יהודה,זהבי אלון,7.1991,ביזנטית,,מערה,קבר,,,קבר,,"חא 99, עמ 57-58",,,,,,,,,,,,,,,,
1724,827,827,"ירושלים, עין כרם",16482/13060,יהודה,זליגמן יוחנן וראם עמית,1.1996,אין תיארוך,,חירבה,כפרי,,,מתקן,כבשן ללא ממצא מתארך,"חא 107, עמ 92",,,,,,,,,,,,,,,,
1725,828,828,"ירושלים, עיסוויה",17341/13424,יהודה,אבו ריע ראפע,"10.1997, 1.1998",ברזל 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 111, עמ 85-86",,,,,,,,,,,,,,,,
1726,828,828,"ירושלים, עיסוויה",17341/13424,יהודה,אבו ריע ראפע,"10.1997, 1.1998",רומית,,חירבה,כפרי,,,שרידי בנייה,מערת קבורה ובור מים,"חא 111, עמ 85-86",,,,,,,,,,,,,,,,
1727,828,829,"ירושלים, עיסוויה",173/134,יהודה,פרידמן דוד,3.1970.,רומית,מאה 1 לפנהס,מערה,קבר,,,קבר,,"חא לד-לה, עמ 18-19",,,,,,,,,,,,,,,,
1728,830,830,"ירושלים, עיר דוד",172372/131228,יהודה,ביליג יעקב,5-6.1992,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 101-102, עמ 83-84",,,,,,,,,,,,,,,,
1729,831,831,"ירושלים, עיר דוד",1724/1309,יהודה,ביליג יעקב,6-7.1994,ברזל 2,,חירבה,כפרי?,,25*3-5 מ,קרמיקה בלבד,,"חא 110, עמ 81-82",,,,,,,,,,,,,,,,
1730,831,831,"ירושלים, עיר דוד",1724/1309,יהודה,ביליג יעקב,6-7.1994,עותמנית,מאה 19-20 לספירה,מחצבה,עירוני,,,מתקן,מחצבה מודרנית,"חא 110, עמ 81-82",,,,,,,,,,,,,,,,
1731,831,831,"ירושלים, עיר דוד",1724/1309,יהודה,ביליג יעקב,6-7.1994,פרסית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 110, עמ 81-82",,,,,,,,,,,,,,,,
1732,831,831,"ירושלים, עיר דוד",1724/1309,יהודה,ביליג יעקב,6-7.1994,רומית - ביזנטית,,מחצבה,עירוני,,,מתקן,מחצבה,"חא 110, עמ 81-82",,,,,,,,,,,,,,,,
1733,831,832,"ירושלים, עיר דוד",17228-60/13085-137,יהודה,דה גרוט אלון,1.1993,רומית,מאה 1 לפנהס - 1 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 66-67",yes,,,,,,,,,,,,,,,
1734,831,1798,"ירושלים, עיר דוד, שטח J",172/131,יהודה,רייך רוני ושוקרון אלי,2.2001,ברונזה תיכונה 2,,חירבה,עירוני,,,קרמיקה בלבד,,"חא 113, עמ' 121-124",,,,,,,,,,,,,,,,
1735,831,1798,"ירושלים, עיר דוד, שטח J",172/131,יהודה,רייך רוני ושוקרון אלי,2.2001,ברזל 2,,חירבה,עירוני,,,שרידי בנייה,,"חא 113, עמ' 121-124",,,,,,,,,,,,,,,,
1736,831,1799,"ירושלים, עיר דוד, שטח k",172/131,יהודה,רייך רוני ושוקרון אלי,2.2001,ביזנטית,,חירבה,עירוני,,,שרידי בנייה,,"חא 113, עמ' 121-124",,,,,,,,,,,,,,,,
1737,833,833,"ירושלים, עמק רפאים",172/130,יהודה,אדלשטיין גרשון,1982,ברונזה תיכונה 1,,חירבה,כפרי,,,שרידי בנייה,,"חא פ-פא, עמ 31-32",,,,,,,,,,,,,,,,
1738,833,833,"ירושלים, עמק רפאים",172/130,יהודה,אדלשטיין גרשון,1982,רומית - ביזנטית,,שרידים חקלאיים,שרידים חקלאיים,,,קרמיקה בלבד,,"חא פ-פא, עמ 31-32",,,,,,,,,,,,,,,,
1739,834,1328,"ירושלים, פסגת זאב",17305/13638,יהודה,אבו ריע ראפע,4.1993,רומית,מאה 1 לפנהס- 1 לספירה,מערה,קבר,,,קבר,,"חא 104, עמ 87-88",yes,,,,,,,,,,,,,,,
1740,834,834,"ירושלים, פסגת זאב ד",1739/1364,יהודה,נדלמן יונתן,7-11.1990,ביזנטית,,חירבה,כפרי,,,מתקן,,"חא 99, עמ 49-51",,,,,,,,,,,,,,,,
1741,834,834,"ירושלים, פסגת זאב ד",1739/1364,יהודה,נדלמן יונתן,7-11.1990,ברזל 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 99, עמ 49-51",,,,,,,,,,,,,,,,
1742,834,834,"ירושלים, פסגת זאב ד",1739/1364,יהודה,נדלמן יונתן,7-11.1990,ברזל 2ג,מאה 7-6 לפנהס,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 49-51",,,,,,,,,,,,,,,,
1743,834,834,"ירושלים, פסגת זאב ד",1739/1364,יהודה,נדלמן יונתן,7-11.1990,הלניסטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 49-51",,,,,,,,,,,,,,,,
1744,834,834,"ירושלים, פסגת זאב ד",1739/1364,יהודה,נדלמן יונתן,7-11.1990,מוסלמי קדום,,שרידים חקלאיים,שרידים חקלאיים,,,מתקן,,"חא 99, עמ 49-51",,,,,,,,,,,,,,,,
1745,834,834,"ירושלים, פסגת זאב ד",1739/1364,יהודה,נדלמן יונתן,7-11.1990,פרסית,מאה 6-5 לפנהס,מצד,כפרי,,,שרידי בנייה,,"חא 99, עמ 49-51",yes,,,,,,,,,,,,,,,
1746,834,834,"ירושלים, פסגת זאב ד",1739/1364,יהודה,נדלמן יונתן,7-11.1990,רומית,,מצד,כפרי,,,שרידי בנייה,,"חא 99, עמ 49-51",yes,,,,,,,,,,,,,,,
1747,834,1327,"ירושלים, פסגת זאב ה",17338/13622,יהודה,שורקין עופרה,1-3.1991,ביזנטית,,מערה,קבר,,,קבר,,"חא 104, עמ 89",,,,,,,,,,,,,,,,
1748,834,1327,"ירושלים, פסגת זאב ה",17338/13622,יהודה,שורקין עופרה,1-3.1991,ברונזה קדומה 4,,מערה,קבר,,,קבר,,"חא 104, עמ 89",,,,,,,,,,,,,,,,
1749,834,1327,"ירושלים, פסגת זאב ה",17338/13622,יהודה,שורקין עופרה,1-3.1991,רומית,מאה 2 לפנהס- 1 לספירה,מערה,קבר,,,קבר,ולצידה גת,"חא 104, עמ 89",,,,,,,,,,,,,,,,
1750,834,835,"ירושלים, פסגת זאב, מזרח א",17283/13628,יהודה,זליגמן יוחנן,1990,ברונזה קדומה 4,,מערה,קבר,,,קבר,,"חא 99, עמ 47-49",,,,,,,,,,,,,,,,
1751,834,835,"ירושלים, פסגת זאב, מזרח א",17283/13628,יהודה,זליגמן יוחנן,1990,ברזל 2ג,מאה 7-6 לפנהס,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 47-49",,,,,,,,,,,,,,,,
1752,834,835,"ירושלים, פסגת זאב, מזרח א",17283/13628,יהודה,זליגמן יוחנן,1990,מוסלמי קדום,,שרידים חקלאיים,שרידים חקלאיים,,,מתקן,,"חא 99, עמ 47-49",,,,,,,,,,,,,,,,
1753,834,835,"ירושלים, פסגת זאב, מזרח א",17283/13628,יהודה,זליגמן יוחנן,1990,רומית - ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 99, עמ 47-49",,,,,,,,,,,,,,,,
1754,1729,1801,"ירושלים, צור באהר",17170-95/12760-70,יהודה,מאי נטליה,11-12.1994,הלניסטית,,חירבה,כפרי,,,מתקן,,"חא 113, עמ' 137-140",,,,,,,,,,,,,,,,
1755,1729,1801,"ירושלים, צור באהר",17170-95/12760-70,יהודה,מאי נטליה,11-12.1994,רומית,,חירבה,כפרי,,,מתקן,,"חא 113, עמ' 137-140",,,,,,,,,,,,,,,,
1756,837,837,"ירושלים, קבר בית הורדוס",172/130,יהודה,קלונר עמוס,2-3.1976,אין תיארוך,,מערה,קבר,,,קבר,,"חא נט-ס, עמ 32",,,,,,,,,,,,,,,,
1757,838,838,"ירושלים, קברי המלכים",172/130,יהודה,ויטו פאני,5.1972,רומית - ביזנטית,,בית קברות,קבר,,,קבר,,"חא מג, עמ 16",,,,,,,,,,,,,,,,
1758,839,839,"ירושלים, קרית יובל",172/130,יהודה,איתן אברהם,1968,ביזנטית,,מערה,קבר,,,קבר,,"חא כז, עמ 4",,,,,,,,,,,,,,,,
1759,840,840,"ירושלים, קרית מנחם",172/130,יהודה,גודוביץ שלמה,1966,ביזנטית,מאה 4-5 לספירה,מערה,קבר,,,קבר,,"חא יח-יט, עמ 11",,,,,,,,,,,,,,,,
1760,841,841,"ירושלים, קרית משה",172/130,יהודה,גודוביץ שלמה,1966,רומית,מאה 1 לפנהס- 2 לספירה,מערה,קבר,,,קבר,,"חא כא, עמ 10",,,,,,,,,,,,,,,,
1761,842,842,"ירושלים, ר סנהדריה",17079/13434,יהודה,זיסו בועז,12.1998,אין תיארוך,,מחצבה,עירוני,,,מתקן,,"חא 111, עמ 139",,,,,,,,,,,,,,,,
